NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231017;0.0;1;6.5;1;;;25.0;1;;;;;15.8;1;18.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231018;0.0;1;11.5;1;;;24.5;1;;;;;18.0;1;13.0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231019;10.6;1;8.0;1;;;20.0;1;;;;;14.0;1;12.0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231020;4.4;1;6.0;1;;;19.5;1;;;;;12.8;1;13.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231021;0.0;1;5.5;1;;;15.5;1;;;;;10.5;1;10.0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231022;0.0;1;0.5;1;;;19.5;1;;;;;10.0;1;19.0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231023;3.2;1;5.5;1;;;23.5;1;;;;;14.5;1;18.0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231024;0.0;1;7.0;1;;;16.0;1;;;;;11.5;1;9.0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231025;0.8;1;6.0;1;;;16.0;1;;;;;11.0;1;10.0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231026;1.1;1;8.5;1;;;18.5;1;;;;;13.5;1;10.0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231027;0.0;1;1.0;1;;;15.5;1;;;;;8.3;1;14.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231028;0.0;1;0.0;1;;;19.5;1;;;;;9.8;1;19.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231029;0.0;1;7.0;1;;;17.5;1;;;;;12.3;1;10.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023800;ASCOU-DOUBLE;42.721167;1.862000;1104;20231030;8.8;1;4.0;1;;;16.0;1;;;;;10.0;1;12.0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
